Anan'ino	<http://vocab.getty.edu/ulan/500202834>	<http://vocab.getty.edu/aat/300019440>	Anan'no
Anangula	<http://vocab.getty.edu/ulan/500202835>	<http://vocab.getty.edu/aat/300016758>	
Anatolian Islamic	<http://vocab.getty.edu/ulan/500202837>	<http://vocab.getty.edu/aat/300387731>	
Ancient British	<http://vocab.getty.edu/ulan/500355201>	<http://vocab.getty.edu/aat/300385980>	British (ancient); British, Ancient
Ancient Chinese	<http://vocab.getty.edu/ulan/500355205>	<http://vocab.getty.edu/aat/300386002>	
Ancient German	<http://vocab.getty.edu/ulan/500202839>	<http://vocab.getty.edu/aat/300385948>	
Ancient Italian	<http://vocab.getty.edu/ulan/500202841>	<http://vocab.getty.edu/aat/300107304>	Ancient Italian
Ancient Mauretanian	<http://vocab.getty.edu/ulan/500355538>	<http://vocab.getty.edu/aat/300262642>	Mauretanian (ancient); Mauritanian (ancient); Mauretania (ancient); Mauritania (ancient)
Ancient Syrian	<http://vocab.getty.edu/ulan/500202844>	<http://vocab.getty.edu/aat/300385952>	
Andalusian	<http://vocab.getty.edu/ulan/500202845>	<http://vocab.getty.edu/aat/300385953>	
Andaqui	<http://vocab.getty.edu/ulan/500294421>	<http://vocab.getty.edu/aat/300017981>	Andaki
Andhra	<http://vocab.getty.edu/ulan/500202846>	<http://vocab.getty.edu/aat/300018882>	Andhra-Satavahana; Satavahana
Andoque	<http://vocab.getty.edu/ulan/500294422>	<http://vocab.getty.edu/aat/300104923>	Andoke; Cho'oje; Patsiahe
Andorran	<http://vocab.getty.edu/ulan/500202847>	<http://vocab.getty.edu/aat/300385954>	
Andronovo	<http://vocab.getty.edu/ulan/500202848>	<http://vocab.getty.edu/aat/300018778>	
Angas	<http://vocab.getty.edu/ulan/500202849>	<http://vocab.getty.edu/aat/300016118>	
Angkorean	<http://vocab.getty.edu/ulan/500355570>	<http://vocab.getty.edu/aat/300120209>	Angkor; Angkorian; Khmer (Angkorean)
Angolan	<http://vocab.getty.edu/ulan/500202850>	<http://vocab.getty.edu/aat/300262700>	Angola; Portuguese West Africa
Anlo	<http://vocab.getty.edu/ulan/500202851>	<http://vocab.getty.edu/aat/300263472>	Achlo; Ahlo; Ahlon; Ahonlan; Anglo; Anlo-Ewe; Awuna (Guinea Coast style); Bogon; Igo (Ewe culture); Ogo
Ano	<http://vocab.getty.edu/ulan/500202852>	<http://vocab.getty.edu/aat/300263152>	Ando; Anno (Guinea Coast style); Anofwe; Bini (Western Guinea coast style); Binye; Budji; Dunihen; Mango (Ano)
Antaimoro	<http://vocab.getty.edu/ulan/500202853>	<http://vocab.getty.edu/aat/300262524>	Antaomoro; Antemoro; Taimoro
