Cakchiquel	<http://vocab.getty.edu/ulan/500203037>
Calvinist	<http://vocab.getty.edu/ulan/500355088>
Cambodian	<http://vocab.getty.edu/ulan/500203041>
Campa	<http://vocab.getty.edu/ulan/500294378>
Campanian	<http://vocab.getty.edu/ulan/500203043>
Canaanite	<http://vocab.getty.edu/ulan/500203045>
Cappadocian	<http://vocab.getty.edu/ulan/500203050>
Capuchin	<http://vocab.getty.edu/ulan/500355090>
Cara (South American)	<http://vocab.getty.edu/ulan/500294425>
Carajá	<http://vocab.getty.edu/ulan/500294399>
Carolingian	<http://vocab.getty.edu/ulan/500203056>
Carrier (Native American)	<http://vocab.getty.edu/ulan/500203057>
Castilian	<http://vocab.getty.edu/ulan/500203058>
Catalan	<http://vocab.getty.edu/ulan/500203059>
Catawba	<http://vocab.getty.edu/ulan/500203060>
Cathar	<http://vocab.getty.edu/ulan/500355093>
Caucasian	<http://vocab.getty.edu/ulan/500203061>
Cayuga	<http://vocab.getty.edu/ulan/500203062>
Cañar (Chaco)	<http://vocab.getty.edu/ulan/500294409>
Celtic	<http://vocab.getty.edu/ulan/500203064>
Central African	<http://vocab.getty.edu/ulan/500203065>
Central Ge (South American)	<http://vocab.getty.edu/ulan/500294443>
Ch'an Buddhist	<http://vocab.getty.edu/ulan/500355094>
Chagga	<http://vocab.getty.edu/ulan/500203070>
Chalcidian	<http://vocab.getty.edu/ulan/500203071>
Chané	<http://vocab.getty.edu/ulan/500294410>
Chatino	<http://vocab.getty.edu/ulan/500203078>
Chehalis	<http://vocab.getty.edu/ulan/500203079>
Chen-Yen	<http://vocab.getty.edu/ulan/500355095>
Cherokee	<http://vocab.getty.edu/ulan/500203082>
Cheyenne	<http://vocab.getty.edu/ulan/500203084>
Chichimec	<http://vocab.getty.edu/ulan/500203089>
Chickasaw	<http://vocab.getty.edu/ulan/500203090>
Chilcotin	<http://vocab.getty.edu/ulan/500203091>
Chinese	<http://vocab.getty.edu/ulan/500125222>
Chinese Buddhist	<http://vocab.getty.edu/ulan/500355096>
Chinese Microlithic	<http://vocab.getty.edu/ulan/500203097>
Chipewyan	<http://vocab.getty.edu/ulan/500203100>
Chitimacha	<http://vocab.getty.edu/ulan/500203103>
Choctaw	<http://vocab.getty.edu/ulan/500203105>
Chocó	<http://vocab.getty.edu/ulan/500294427>
Choiseul	<http://vocab.getty.edu/ulan/500203106>
Chokwe	<http://vocab.getty.edu/ulan/500203107>
Chondogyo	<http://vocab.getty.edu/ulan/500355098>
Chontal	<http://vocab.getty.edu/ulan/500203110>
Chosen	<http://vocab.getty.edu/ulan/500203113>
Christian	<http://vocab.getty.edu/ulan/500355055>
Christian Scientist	<http://vocab.getty.edu/ulan/500355101>
Chuka	<http://vocab.getty.edu/ulan/500203116>
Chumash	<http://vocab.getty.edu/ulan/500203117>
Cocopa	<http://vocab.getty.edu/ulan/500203126>
Coeur d'Alène	<http://vocab.getty.edu/ulan/500203127>
Colonial American	<http://vocab.getty.edu/ulan/500203130>
Comanche	<http://vocab.getty.edu/ulan/500203137>
Comorian	<http://vocab.getty.edu/ulan/500203138>
Conestoga	<http://vocab.getty.edu/ulan/500203141>
Confucian	<http://vocab.getty.edu/ulan/500355108>
Congolese	<http://vocab.getty.edu/ulan/500203142>
Congolese (Democratic Republic of Congo)	<http://vocab.getty.edu/ulan/500203143>
Congolese (Republic of the Congo)	<http://vocab.getty.edu/ulan/500203144>
Congregationalist	<http://vocab.getty.edu/ulan/500355109>
Conservative Jewish	<http://vocab.getty.edu/ulan/500355110>
Coos	<http://vocab.getty.edu/ulan/500203146>
Coptic Egyptian	<http://vocab.getty.edu/ulan/500203148>
Coptic Orthodox	<http://vocab.getty.edu/ulan/500355111>
Cora	<http://vocab.getty.edu/ulan/500203149>
Corinthian	<http://vocab.getty.edu/ulan/500203150>
Corsican	<http://vocab.getty.edu/ulan/500203151>
Cowlitz	<http://vocab.getty.edu/ulan/500203158>
Cree	<http://vocab.getty.edu/ulan/500203160>
Creek (Native American)	<http://vocab.getty.edu/ulan/500203161>
Croatian	<http://vocab.getty.edu/ulan/500203164>
Crow	<http://vocab.getty.edu/ulan/500203165>
Cuna	<http://vocab.getty.edu/ulan/500203173>
Cupeño	<http://vocab.getty.edu/ulan/500203174>
Cypriot	<http://vocab.getty.edu/ulan/500203179>
Czech	<http://vocab.getty.edu/ulan/500125277>
Dalmatian	<http://vocab.getty.edu/ulan/500125278>
Dama	<http://vocab.getty.edu/ulan/500203190>
Danish	<http://vocab.getty.edu/ulan/500125285>
Danubian	<http://vocab.getty.edu/ulan/500203192>
Danubian (Neolithic)	<http://vocab.getty.edu/ulan/500203193>
Day (African)	<http://vocab.getty.edu/ulan/500203194>
De	<http://vocab.getty.edu/ulan/500203195>
Dharanindravarman	<http://vocab.getty.edu/ulan/500203202>
Dida	<http://vocab.getty.edu/ulan/500203204>
Diegueno	<http://vocab.getty.edu/ulan/500203205>
Dogon	<http://vocab.getty.edu/ulan/500203210>
Dogrib	<http://vocab.getty.edu/ulan/500203211>
Dominican (Dominica)	<http://vocab.getty.edu/ulan/500203212>
Dominican (Dominican Republic)	<http://vocab.getty.edu/ulan/500203213>
Donatist	<http://vocab.getty.edu/ulan/500355115>
Doric	<http://vocab.getty.edu/ulan/500203216>
Duma (Kota-Mbete)	<http://vocab.getty.edu/ulan/500203222>
Duma (Southern African)	<http://vocab.getty.edu/ulan/500203223>
Dutch	<http://vocab.getty.edu/ulan/500125224>
Dyula	<http://vocab.getty.edu/ulan/500203226>
Dông-Son (Indonesian)	<http://vocab.getty.edu/ulan/500203181>
Dông-Son (Vietnamese)	<http://vocab.getty.edu/ulan/500355223>
Early Cypriot	<http://vocab.getty.edu/ulan/500203229>
Early Nomads Chinese	<http://vocab.getty.edu/ulan/500203233>
Edo (African)	<http://vocab.getty.edu/ulan/500203242>
Edo (Japanese)	<http://vocab.getty.edu/ulan/500203243>
Efe (Mbuti)	<http://vocab.getty.edu/ulan/500203244>
Eighteenth Dynasty	<http://vocab.getty.edu/ulan/500203248>
Eighth Dynasty	<http://vocab.getty.edu/ulan/500203249>
Eleventh Dynasty	<http://vocab.getty.edu/ulan/500203253>
Emilian	<http://vocab.getty.edu/ulan/500203254>
Emirian	<http://vocab.getty.edu/ulan/500203255>
English	<http://vocab.getty.edu/ulan/500125227>
Enya	<http://vocab.getty.edu/ulan/500203256>
Eretrian (Greek)	<http://vocab.getty.edu/ulan/500203260>
Eritrean (African)	<http://vocab.getty.edu/ulan/500203262>
Ertebolle	<http://vocab.getty.edu/ulan/500203264>
Eskimo	<http://vocab.getty.edu/ulan/500203265>
Estonian	<http://vocab.getty.edu/ulan/500203267>
Ethiopian	<http://vocab.getty.edu/ulan/500125232>
Etruscan	<http://vocab.getty.edu/ulan/500125265>
Euboean	<http://vocab.getty.edu/ulan/500203270>
Ewe	<http://vocab.getty.edu/ulan/500203271>
Eyak	<http://vocab.getty.edu/ulan/500203272>
Faliscan	<http://vocab.getty.edu/ulan/500203276>
Fang	<http://vocab.getty.edu/ulan/500203277>
Felup	<http://vocab.getty.edu/ulan/500203279>
Fifteenth Dynasty	<http://vocab.getty.edu/ulan/500203281>
Fifth Dynasty	<http://vocab.getty.edu/ulan/500203282>
Fijian	<http://vocab.getty.edu/ulan/500203283>
Filipino	<http://vocab.getty.edu/ulan/500203284>
Finnish	<http://vocab.getty.edu/ulan/500203285>
First Dynasty	<http://vocab.getty.edu/ulan/500203286>
First Intermediate Egyptian	<http://vocab.getty.edu/ulan/500203287>
First Nations	<http://vocab.getty.edu/ulan/500355546>
Five Dynasties Chinese	<http://vocab.getty.edu/ulan/500203288>
Flemish	<http://vocab.getty.edu/ulan/500125233>
Flores	<http://vocab.getty.edu/ulan/500203291>
Fon	<http://vocab.getty.edu/ulan/500203292>
Fourteenth Dynasty	<http://vocab.getty.edu/ulan/500203293>
Fourth Dynasty	<http://vocab.getty.edu/ulan/500203294>
Fox	<http://vocab.getty.edu/ulan/500203295>
Frankish	<http://vocab.getty.edu/ulan/500203297>
Freemasonic	<http://vocab.getty.edu/ulan/500355193>
French	<http://vocab.getty.edu/ulan/500125235>
Frisian	<http://vocab.getty.edu/ulan/500203300>
Friulian	<http://vocab.getty.edu/ulan/500203301>
Fula	<http://vocab.getty.edu/ulan/500203302>
Funan	<http://vocab.getty.edu/ulan/500203305>
Ga	<http://vocab.getty.edu/ulan/500203306>
Ga'anda	<http://vocab.getty.edu/ulan/500203307>
Gabrieliño	<http://vocab.getty.edu/ulan/500203310>
Gascon	<http://vocab.getty.edu/ulan/500203322>
Ge (Ewe)	<http://vocab.getty.edu/ulan/500203326>
Georgian	<http://vocab.getty.edu/ulan/500203328>
German	<http://vocab.getty.edu/ulan/500125236>
Gola (West Atlantic)	<http://vocab.getty.edu/ulan/500203339>
Goma	<http://vocab.getty.edu/ulan/500203340>
Greek	<http://vocab.getty.edu/ulan/500125237>
Greenlandic	<http://vocab.getty.edu/ulan/500203349>
Gros Ventre	<http://vocab.getty.edu/ulan/500203351>
Guaraní	<http://vocab.getty.edu/ulan/500294445>
Gun	<http://vocab.getty.edu/ulan/500203362>
Gurage	<http://vocab.getty.edu/ulan/500203365>
Gwa	<http://vocab.getty.edu/ulan/500203373>
Haida	<http://vocab.getty.edu/ulan/500203377>
Haisla	<http://vocab.getty.edu/ulan/500203378>
Hallstatt	<http://vocab.getty.edu/ulan/500203381>
Hamburgian (Mesolithic)	<http://vocab.getty.edu/ulan/500203383>
Hare	<http://vocab.getty.edu/ulan/500203390>
Harshavarman	<http://vocab.getty.edu/ulan/500203391>
Hausa	<http://vocab.getty.edu/ulan/500203392>
Hawaiian	<http://vocab.getty.edu/ulan/500203394>
Hebrew	<http://vocab.getty.edu/ulan/500203395>
Heiltsuk	<http://vocab.getty.edu/ulan/500203397>
Hemba	<http://vocab.getty.edu/ulan/500203400>
Hessian	<http://vocab.getty.edu/ulan/500203404>
Hidatsa	<http://vocab.getty.edu/ulan/500203405>
Hinayana Buddhist	<http://vocab.getty.edu/ulan/500355124>
Hindu	<http://vocab.getty.edu/ulan/500355058>
Hittite	<http://vocab.getty.edu/ulan/500203408>
Hmong	<http://vocab.getty.edu/ulan/500203410>
Ho	<http://vocab.getty.edu/ulan/500355232>
Honduran	<http://vocab.getty.edu/ulan/500203414>
Hong Kong	<http://vocab.getty.edu/ulan/500203415>
Hopi	<http://vocab.getty.edu/ulan/500203418>
Huamachuco	<http://vocab.getty.edu/ulan/500203420>
Huichol	<http://vocab.getty.edu/ulan/500203425>
Hum	<http://vocab.getty.edu/ulan/500203426>
Hupa	<http://vocab.getty.edu/ulan/500203430>
Huron	<http://vocab.getty.edu/ulan/500203431>
Icelandic	<http://vocab.getty.edu/ulan/500203435>
Igbo	<http://vocab.getty.edu/ulan/500203439>
Ijo	<http://vocab.getty.edu/ulan/500203442>
Imperial Roman	<http://vocab.getty.edu/ulan/500203450>
Inca	<http://vocab.getty.edu/ulan/500125282>
Indian	<http://vocab.getty.edu/ulan/500125241>
Indonesian	<http://vocab.getty.edu/ulan/500203452>
Indravarman	<http://vocab.getty.edu/ulan/500203453>
Ingalik	<http://vocab.getty.edu/ulan/500203455>
International	<http://vocab.getty.edu/ulan/500203456>
Inuit	<http://vocab.getty.edu/ulan/500203457>
Ionian	<http://vocab.getty.edu/ulan/500355226>
Islamic	<http://vocab.getty.edu/ulan/500125240>
Isleta Pueblo	<http://vocab.getty.edu/ulan/500203469>
Italian	<http://vocab.getty.edu/ulan/500125250>
Italic	<http://vocab.getty.edu/ulan/500203472>
Itzá	<http://vocab.getty.edu/ulan/500203474>
Jainist	<http://vocab.getty.edu/ulan/500355128>
Japanese	<http://vocab.getty.edu/ulan/500125252>
Japanese Buddhist	<http://vocab.getty.edu/ulan/500355129>
Jarawa	<http://vocab.getty.edu/ulan/500203485>
Javanese	<http://vocab.getty.edu/ulan/500203487>
Jayavarmadiparamesvara	<http://vocab.getty.edu/ulan/500203488>
Jayavarman	<http://vocab.getty.edu/ulan/500203489>
Jehovah's Witness	<http://vocab.getty.edu/ulan/500355130>
Jemez Pueblo	<http://vocab.getty.edu/ulan/500203490>
Jesuit	<http://vocab.getty.edu/ulan/500355131>
Jewish	<http://vocab.getty.edu/ulan/500203491>
Jomon	<http://vocab.getty.edu/ulan/500203499>
Jukun	<http://vocab.getty.edu/ulan/500203501>
Kagyupa	<http://vocab.getty.edu/ulan/500355134>
Kande	<http://vocab.getty.edu/ulan/500203514>
Kansa	<http://vocab.getty.edu/ulan/500203516>
Kanuri	<http://vocab.getty.edu/ulan/500203517>
Kanyok	<http://vocab.getty.edu/ulan/500203518>
Kaonde	<http://vocab.getty.edu/ulan/500203519>
Kare (Lake Chad)	<http://vocab.getty.edu/ulan/500203524>
Kare (Zande-Mangbetu)	<http://vocab.getty.edu/ulan/500203525>
Karok	<http://vocab.getty.edu/ulan/500203526>
Kasanga	<http://vocab.getty.edu/ulan/500203527>
Kashmiri	<http://vocab.getty.edu/ulan/500203528>
Kaska	<http://vocab.getty.edu/ulan/500203530>
Kawaiisu	<http://vocab.getty.edu/ulan/500203536>
Kazak	<http://vocab.getty.edu/ulan/500203538>
Kekchi	<http://vocab.getty.edu/ulan/500203540>
Kgalagadi	<http://vocab.getty.edu/ulan/500203544>
Kimberly	<http://vocab.getty.edu/ulan/500203553>
Kiowa	<http://vocab.getty.edu/ulan/500203554>
Kissi	<http://vocab.getty.edu/ulan/500203557>
Komo	<http://vocab.getty.edu/ulan/500203569>
Kongo	<http://vocab.getty.edu/ulan/500203570>
Kono	<http://vocab.getty.edu/ulan/500203574>
Korean	<http://vocab.getty.edu/ulan/500203575>
Koro	<http://vocab.getty.edu/ulan/500203576>
Koryo	<http://vocab.getty.edu/ulan/500203577>
Kosraes	<http://vocab.getty.edu/ulan/500203579>
Kota	<http://vocab.getty.edu/ulan/500203581>
Koyukon	<http://vocab.getty.edu/ulan/500203585>
Kpe	<http://vocab.getty.edu/ulan/500203586>
Kpelle	<http://vocab.getty.edu/ulan/500203587>
Kuba (Congolese)	<http://vocab.getty.edu/ulan/500203592>
Kunda (Southern African)	<http://vocab.getty.edu/ulan/500203595>
Kurdish	<http://vocab.getty.edu/ulan/500203598>
Kurgan	<http://vocab.getty.edu/ulan/500203599>
