y	c
http://dbpedia.org/resource/Modernist_poetry	7
http://dbpedia.org/resource/Hip_hop	7
http://dbpedia.org/resource/German_Expressionism	6
http://dbpedia.org/resource/Ashcan_School	6
http://dbpedia.org/resource/Dirty_realism	6
http://dbpedia.org/resource/Light_and_Space	6
http://dbpedia.org/resource/American_Figurative_Expressionism	6
http://dbpedia.org/resource/Costumbrismo	6
http://dbpedia.org/resource/Pointillism	6
http://dbpedia.org/resource/Impressionism_(literature)	6
http://dbpedia.org/resource/Synchromism	6
http://dbpedia.org/resource/Feminist_art_movement	6
http://dbpedia.org/resource/Skamander	6
http://dbpedia.org/resource/School_of_Paris	6
http://dbpedia.org/resource/Naskh_(script)	6
http://dbpedia.org/resource/Neo-Dada	6
http://dbpedia.org/resource/Experimental_film	6
http://dbpedia.org/resource/Modernisme	6
http://dbpedia.org/resource/New_Formalism	6
http://dbpedia.org/resource/Viața_Românească	6
http://dbpedia.org/resource/Classical_Realism	6
http://dbpedia.org/resource/Taos_Society_of_Artists	6
http://dbpedia.org/resource/Naturalism_(theatre)	6
http://dbpedia.org/resource/Confederation_Poets	6
http://dbpedia.org/resource/Contemporary_Indigenous_Australian_art	6
http://dbpedia.org/resource/Russian_symbolism	6
http://dbpedia.org/resource/Victorian_literature	6
http://dbpedia.org/resource/Luminism_(American_art_style)	6
http://dbpedia.org/resource/Group_of_Seven_(artists)	6
http://dbpedia.org/resource/International_Gothic	6
http://dbpedia.org/resource/Portrait	6
http://dbpedia.org/resource/Postcolonial_literature	6
http://dbpedia.org/resource/Proletarian_literature	6
http://dbpedia.org/resource/Sămănătorul	6
http://dbpedia.org/resource/Barbizon_school	6
http://dbpedia.org/resource/Abstraction	6
http://dbpedia.org/resource/American_scene_painting	6
http://dbpedia.org/resource/Feminist_art_movement_in_the_United_States	6
http://dbpedia.org/resource/Black-figure_pottery	6
http://dbpedia.org/resource/Humanism	6
http://dbpedia.org/resource/Scottish_Renaissance	6
http://dbpedia.org/resource/New_Objectivity	6
http://dbpedia.org/resource/The_Pen_League	5
http://dbpedia.org/resource/Neo-figurative_art	5
http://dbpedia.org/resource/COBRA_(avant-garde_movement)	5
http://dbpedia.org/resource/Assemblage_(art)	5
http://dbpedia.org/resource/Painters_Eleven	5
http://dbpedia.org/resource/Northwest_Coast_art	5
http://dbpedia.org/resource/Process_art	5
http://dbpedia.org/resource/Al-Nahda	5
http://dbpedia.org/resource/Düsseldorf_school_of_painting	5
http://dbpedia.org/resource/Junimea	5
http://dbpedia.org/resource/Transcendentalism	5
http://dbpedia.org/resource/LGBT_literature	5
http://dbpedia.org/resource/Dutch_Golden_Age	5
http://dbpedia.org/resource/Woodlands_style	5
http://dbpedia.org/resource/Romantic_poetry	5
http://dbpedia.org/resource/Kustom_Kulture	5
http://dbpedia.org/resource/I_Novel	5
http://dbpedia.org/resource/Illyrian_movement	5
http://dbpedia.org/resource/De_Stijl	5
http://dbpedia.org/resource/Imagism	5
http://dbpedia.org/resource/Santiniketan:_The_Making_of_a_Contextual_Modernism	5
http://dbpedia.org/resource/Spanish_Renaissance	5
http://dbpedia.org/resource/Gândirea	5
http://dbpedia.org/resource/Gothic_art	5
http://dbpedia.org/resource/Scuola_Romana	5
http://dbpedia.org/resource/Confessional_poetry	5
http://dbpedia.org/resource/Still_life	5
http://dbpedia.org/resource/Contimporanul	5
http://dbpedia.org/resource/Representation_(arts)	5
http://dbpedia.org/resource/Action_painting	5
http://dbpedia.org/resource/Mahjar	5
http://dbpedia.org/resource/Trompe-l'œil	5
http://dbpedia.org/resource/Song_dynasty	5
http://dbpedia.org/resource/Concrete_poetry	5
http://dbpedia.org/resource/En_plein_air	5
http://dbpedia.org/resource/Shirakabaha	5
http://dbpedia.org/resource/Urban_art	5
http://dbpedia.org/resource/Black_Arts_Movement	5
http://dbpedia.org/resource/Scapigliatura	4
http://dbpedia.org/resource/Hermeticism_(poetry)	4
http://dbpedia.org/resource/Historical_fiction	4
